teff (K),abs (mag),spect
4516.511499,1.221,K0III
3972.786901,-0.561,K3III
4547.296049,2.074,G6/G8III
4464.930363,0.664,G8III
4249.843661,0.724,K1III
6058.025058,3.707,F3/F5V
7433.849089,-9.7,F0/F2V
6008.56227,2.313,F6/F7IV
10198.49216,2.1,A0V
4695.003952,3.007,G8IV
5895.557981,2.318,F6/F7V
4547.296049,1.992,G8IV
4390.253375,0.393,K0III
4135.81811,-0.085,K1III
6388.076886,3.147,F2/F3V
9123.65501,2.23,A0V
6331.646916,3.534,F2V
6372.562421,2.636,F3V
6382.894913,2.746,F0V
4227.520058,0.49,K1IIICN...
7605.378871,2.633,A2III
4520.877388,0.757,G8/K0III
9667.329316,1.759,A0V
6895.90895,-3.174,B3Ia
6296.38002,3.309,F3V
6767.094717,2.875,F2V
10732.5933,-1.081,B2IVne+...
4571.854983,-0.038,G8III
4452.263883,1.325,K0III
5743.562896,3.722,F8/G0V
6062.572271,3.697,F6V
6515.684172,2.041,F0V
5015.846467,5.29,G8V
5973.217658,3.259,F5V
11213.70437,-0.058,B9IVn
5129.501286,4.304,G5IV
5542.041421,4.222,G2V
7621.466406,1.692,A7V
5256.182661,4.814,G5V
6725.478332,-11.41,B0Ibp
6467.089601,2.959,F3/F5V
5397.784988,3.824,F8V
4246.102601,1.566,G8/K0IV
5575.013529,4.028,G2/G3V
4492.686168,0.74,G8IV
12098.32379,0.342,B8V
5743.562896,2.461,F6V
9726.231778,1.477,A1V
6080.846809,3.665,F6V
5799.912358,4.18,G0V
4305.031221,0.993,K0III
10215.23159,0.898,A1V
4410.682706,2.188,K1III
12201.83965,-1.136,B3V
11452.8833,0.459,B8/B9V
4813.966778,6.559,K0V
3506.23774,-4.044,K3Ibvar
6271.488182,2.469,F2V
4423.054898,-0.824,G8III
4400.438402,1.922,K0III
4148.110119,-0.424,K2III
2735.397795,0.996,C5II
4183.739424,1.616,K0III
4127.093671,0.777,K1IV
8253.871451,-1.824,B9III
7549.734293,0.862,A2/A3IV
3995.092575,-0.812,K1III
4328.396455,0.662,K0/K1III
12498.31318,-0.631,B8III
6382.894913,2.559,F5IV
4370.058973,0.845,K1III
6678.692159,2.726,F0V
10282.88244,1.565,A0IV
5484.610294,3.124,G2V
4001.523309,1.022,K2III
9908.462863,-3.012,B3V
3830.693448,-0.255,K4III
5087.966578,5.713,G9V
5340.673788,4.212,G3V
5795.84153,3.21,F8V
5224.566405,4.948,G5V
4505.642737,1.482,G9III
6188.662586,3.157,F5V
4594.471192,0.343,G8II
5849.326254,4.181,G0V
4276.263755,0.607,G9III:
4801.222978,1.975,G8/K0V
5688.56245,4.418,G0V
5627.291427,3.954,G0V
9291.838881,1.003,A1Vn
4229.369165,0.191,K1III
4221.984843,1.658,K1III
5281.822639,1.098,F2V
5845.168212,4.42,F3/F5V
4320.572871,7.485,K5V
11497.75265,1.964,B9V
4414.79715,1.627,K1III
3700.659452,10.373,M2V
4171.182364,-0.617,K2III
7953.175856,2.152,A1Vs
4368.052288,0.638,G4V:p
4287.71293,1.043,K0III
5010.186837,4.037,G8IV
4496.994667,1.451,K0III
4231.220295,1.548,K0III
3505.08047,-1.878,M3III
5367.360547,5.275,G5V
5178.021997,3.624,G5V
4490.535786,0.898,K0III
3724.702824,-0.094,K3/K4III
15369.17133,-1.208,B1.5IV
4116.684853,0.022,K0III
4699.814408,0.26,G5III
6767.094717,4.157,A9/F0V
5904.062214,0.784,F3/F5V
